id,category,category_num,degree,menu_name,price,info,cinnamon,whip,strong_or_weak,syrup_add,light_vanilia_add,stevia_changed,stevia_add,honey_add,choose_milk,choose_topping,zero_cider_changed
82,커피(콜드브루),5,ICE,콜드브루 디카페인,3500,"카페인을 줄였지만, 원두 본연의 향미를 풍부하게 살려 맛을 잡은 콜드브루 디카페인",0,0,"1,2","1,9",0,0,0,"1,15",0,0,0
83,커피(콜드브루),6,HOT,콜드브루 디카페인,4000,"카페인을 줄였지만, 원두 본연의 향미를 풍부하게 살려 맛을 잡은 콜드브루 디카페인",0,0,"1,2","1,9",0,0,0,"1,15",0,0,0
84,커피(콜드브루),7,ICE,콜드브루 디카페인라떼,3500,"고소한 우유를 섞어, 커피향에 부드러운 풍미를 가미한 콜드브루 디카페인 라떼",0,0,"1,2","1,9",0,0,0,"1,15","1,13,14",0,0
85,커피(콜드브루),8,HOT,콜드브루 디카페인라떼,4000,"고소한 우유를 섞어, 커피향에 부드러운 풍미를 가미한 콜드브루 디카페인 라떼",0,0,"1,2","1,9",0,0,0,"1,15","1,13,14",0,0
86,커피(HOT),1,HOT,아메리카노,1500,"메가MGC커피 블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.",0,0,"1,2,3,4",0,0,0,"1,12",0,0,0,0
87,커피(HOT),2,HOT,꿀아메리카노,2500,아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.,0,0,"1,2,3,4",0,0,0,0,"1,15",0,0,0
88,커피(HOT),3,HOT,헤이즐넛아메리카노,2500,아메리카노에 헤이즐넛의 풍성한 향과 달콤함을 담아 향긋하고 부드럽게,0,0,"1,2,3,9",0,0,0,0,"1,15",0,0,0
89,커피(HOT),4,HOT,바닐라아메리카노,2700,아메리카노에 바닐라의 부드러운 향과 달콤함을 조화롭게 담아낸 커피.,0,0,"1,2,3,6,7,8",0,0,0,0,"1,15",0,0,0
90,커피(HOT),5,HOT,카페라떼,2900,진한 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.,0,0,"1,2,3,4",0,"1,8",0,"1,12","1,15","1,13,14",0,0
91,커피(HOT),6,HOT,바닐라라떼,3400,바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.,0,0,"1,2,3,6,7,8",0,0,0,0,"1,15","1,13,14",0,0
92,커피(HOT),7,HOT,연유라떼,3900,"향기로운 에스프레소 샷, 부드러운 우유 그리고 달콤한 연유가 조화롭게 어우러진 라떼.",0,0,"1,2,3,4",0,0,"1,11",0,"1,15","1,13,14",0,0
93,커피(HOT),8,HOT,카라멜마끼야또,3700,폼 밀크 속에 진한 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피.,0,0,"1,2,3,4,10",0,0,0,0,"1,15","1,13,14",0,0
94,커피(HOT),9,HOT,카페모카,3900,"초코를 만나 풍부해진 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.",0,"19,20","1,2,3,4",0,0,0,0,"1,15","1,13,14",0,0
95,커피(HOT),10,HOT,카푸치노,2900,"에스프레소 위에 올려진 우유 거품, 그리고 시나몬 파우더로 완성한 조화로운 맛의 커피.","21,22",0,"1,2,3,4","1,9",0,0,"1,12","1,15","1,13,14",0,0
96,커피(HOT),11,HOT,헤이즐넛라떼,3400,부드러운 카페라떼에 헤이즐넛의 풍부한 향과 달콤함을 담아 향긋하게 즐길 수 있는 라떼.,0,0,"1,2,3,9",0,0,0,0,"1,15","1,13,14",0,0
97,커피(HOT),12,HOT,티라미수라떼,3900,에스프레소와 티라미수 소스 & 우유 그리고 풍미를 더해주는 달달한 크림까지 곁들여 완성한 티라미수 라떼.,0,0,"1,2,3,4",0,0,"1,11",0,"1,15","1,13,14",0,0
98,커피(ICE),1,ICE,메가리카노,3000,깊고 진한 메가MGC커피 아메리카노를 '960ml' 더 큼직하게 즐길 수 있는 대용량 커피.,"21,22","19,20","1,2,3,4","1,9",0,0,"1,12","1,15",0,0,0
99,커피(ICE),2,ICE,아메리카노,2000,"메가MGC커피 블렌드 원두로 추출한 에스프레소에 물을 더해, 풍부한 바디감을 느낄 수 있는 스탠다드 커피.","21,22","19,20","1,2,3,4",0,0,0,"1,12",0,0,0,0
100,커피(ICE),3,ICE,꿀아메리카노,2500,아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.,"21,22","19,20","1,2,3,4",0,0,0,0,"1,15",0,0,0
101,커피(ICE),4,ICE,헤이즐넛아메리카노,2500,아메리카노에 헤이즐넛의 풍성한 향과 달콤함을 담아 향긋하고 부드럽게 즐기는 커피.,"21,22","19,20","1,2,3,9",0,0,0,0,"1,15",0,0,0
102,커피(ICE),5,ICE,바닐라아메리카노,2500,아메리카노에 바닐라의 부드러운 향과 달콤함을 조화롭게 담아낸 커피.,"21,22","19,20","1,2,3,6,7,8",0,0,0,0,"1,15",0,0,0
103,커피(ICE),6,ICE,큐브라떼,4200,"연유를 섞은 라떼에 에스프레소를 얼린 커피큐브를 올려, 녹을수록 더 진한 커피가 느껴지는 라떼.","21,22","19,20","1,2,3,4",0,0,0,0,"1,15","1,13,14",0,0
104,커피(ICE),7,ICE,카페라떼,2900,진한 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.,"21,22","19,20","1,2,3,4",0,"1,8",0,"1,12","1,15","1,13,14",0,0
105,커피(ICE),8,ICE,바닐라라떼,3400,바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.,"21,22","19,20","1,2,3,6,7,8",0,0,0,0,"1,15","1,13,14",0,0
106,커피(ICE),9,ICE,카라멜마끼아또,3500,폼 밀크 속에 진한 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피.,"21,22","19,20","1,2,3,4,10",0,0,0,0,"1,15","1,13,14",0,0
107,커피(ICE),10,ICE,카페모카,3700,"초코를 만나 풍부해진 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.","21,22","19,20","1,2,3,4",0,0,0,0,"1,15","1,13,14",0,0
