id,menu_name,img_path
99,아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_아메리카노.jpg
100,꿀아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_꿀아메리카노.jpg
101,헤이즐넛아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_헤이즐넛아메리카노.jpg
102,바닐라아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_바닐라아메리카노.jpg
103,큐브라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_큐브라떼.jpg
104,카페라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_카페라떼.jpg
105,바닐라라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_바닐라라떼.jpg
106,카라멜마끼아또,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_카라멜마끼아또.jpg
107,카페모카,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_카페모카.jpg
108,카푸치노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_카푸치노.jpg
109,헤이즐넛라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_헤이즐넛라떼.jpg
110,티라미수라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_티라미수라떼.jpg
111,트로피컬 용과 티플레져,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\트로피컬 용과 티플레저.jpg
112,복숭아아이스티,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_복숭아아이스티.jpg
113,허니자몽블랙티,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_허니자몽블랙티.jpg
114,사과유자차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_사과유자차.jpg
115,유자차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_유자차.jpg
116,레몬차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_레몬차.jpg
117,자몽차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_자몽차.jpg
118,녹차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_녹차.jpg
119,페퍼민트,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_페퍼민트.jpg
120,캐모마일,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_캐모마일.jpg
